Person Name,Person ID,Date,Start,End
Lilli Brockington,1,15.7.2012,04:21,04:21
Wenona Endsley,2,15.7.2012,18:21,04:39
Wenona Endsley,2,15.7.2012,04:21,04:21
Houston Riess,3,15.7.2012,18:21,03:58
Chana Crowther,4,15.7.2012,18:21,03:20
Aleisha Lige,5,15.7.2012,18:21,21:59
Modesto Melody,6,15.7.2012,18:21,00:47
Modesto Melody,6,15.7.2012,04:21,04:21
Hassan Lindstedt,7,15.7.2012,18:21,05:22
Hassan Lindstedt,7,15.7.2012,04:21,04:21
Elwood Quarles,8,15.7.2012,18:21,04:22
Elwood Quarles,8,15.7.2012,04:21,04:21
Marci Luckett,9,15.7.2012,18:21,20:36
Virgilio Godby,10,15.7.2012,18:21,21:47
Curtis Duden,11,15.7.2012,18:21,23:48
Kristina Marrinan,12,15.7.2012,18:21,02:50
Lilli Brockington,1,16.7.2012,18:21,04:54
Wenona Endsley,2,16.7.2012,18:21,23:48
Wenona Endsley,2,16.7.2012,04:21,04:21
Houston Riess,3,16.7.2012,18:21,20:26
Houston Riess,3,16.7.2012,04:21,04:21
Chana Crowther,4,16.7.2012,18:21,01:08
Aleisha Lige,5,16.7.2012,18:21,04:03
Modesto Melody,6,16.7.2012,18:21,04:50
Modesto Melody,6,16.7.2012,04:21,04:21
Hassan Lindstedt,7,16.7.2012,18:21,20:49
Hassan Lindstedt,7,16.7.2012,04:21,04:21
Elwood Quarles,8,16.7.2012,18:21,05:13
Marci Luckett,9,16.7.2012,18:21,00:52
Marci Luckett,9,16.7.2012,04:21,04:21
Virgilio Godby,10,16.7.2012,18:21,00:49
Curtis Duden,11,16.7.2012,18:21,06:20
Kristina Marrinan,12,16.7.2012,18:21,00:10
Kristina Marrinan,12,16.7.2012,04:21,04:21
Felisa Diver,13,16.7.2012,18:21,04:55
Dalia Hoak,14,16.7.2012,18:21,06:01
Dalia Hoak,14,16.7.2012,04:21,04:21
Lilli Brockington,1,17.7.2012,18:21,04:08
Lilli Brockington,1,17.7.2012,04:21,04:21
Wenona Endsley,2,17.7.2012,18:21,05:38
Wenona Endsley,2,17.7.2012,04:21,04:21
Houston Riess,3,17.7.2012,18:21,22:38
Houston Riess,3,17.7.2012,04:21,04:21
Chana Crowther,4,17.7.2012,18:21,20:26
Chana Crowther,4,17.7.2012,04:21,04:21
Aleisha Lige,5,17.7.2012,18:21,03:30
Modesto Melody,6,17.7.2012,18:21,23:27
Modesto Melody,6,17.7.2012,04:21,04:21
Hassan Lindstedt,7,17.7.2012,18:21,04:13
Elwood Quarles,8,17.7.2012,18:21,01:38
Marci Luckett,9,17.7.2012,18:21,00:06
Virgilio Godby,10,17.7.2012,18:21,04:18
Virgilio Godby,10,17.7.2012,04:21,04:21
Lilli Brockington,1,18.7.2012,18:21,00:49
Wenona Endsley,2,18.7.2012,18:21,21:49
Houston Riess,3,18.7.2012,18:21,01:15
Chana Crowther,4,18.7.2012,18:21,22:05
Chana Crowther,4,18.7.2012,04:21,04:21
Aleisha Lige,5,18.7.2012,18:21,06:10
Modesto Melody,6,18.7.2012,18:21,02:01
Modesto Melody,6,18.7.2012,04:21,04:21
Hassan Lindstedt,7,18.7.2012,18:21,23:45
Hassan Lindstedt,7,18.7.2012,04:21,04:21
Elwood Quarles,8,18.7.2012,18:21,21:00
Marci Luckett,9,18.7.2012,18:21,03:37
Virgilio Godby,10,18.7.2012,18:21,04:26
Virgilio Godby,10,18.7.2012,04:21,04:21
Curtis Duden,11,18.7.2012,18:21,22:39
Kristina Marrinan,12,18.7.2012,18:21,20:36
Felisa Diver,13,18.7.2012,18:21,02:14
Felisa Diver,13,18.7.2012,04:21,04:21
Dalia Hoak,14,18.7.2012,18:21,02:44
Dalia Hoak,14,18.7.2012,04:21,04:21
Shiloh Weis,15,18.7.2012,18:21,23:05
Shiloh Weis,15,18.7.2012,04:21,04:21
Neoma Paine,16,18.7.2012,18:21,02:24
Neoma Paine,16,18.7.2012,04:21,04:21
Lilli Brockington,1,19.7.2012,18:21,22:12
Lilli Brockington,1,19.7.2012,04:21,04:21
Wenona Endsley,2,19.7.2012,18:21,00:09
Wenona Endsley,2,19.7.2012,04:21,04:21
Houston Riess,3,19.7.2012,18:21,21:49
Chana Crowther,4,19.7.2012,18:21,02:38
Aleisha Lige,5,19.7.2012,18:21,05:28
Modesto Melody,6,19.7.2012,18:21,01:19
Modesto Melody,6,19.7.2012,04:21,04:21
Hassan Lindstedt,7,19.7.2012,18:21,05:41
Elwood Quarles,8,19.7.2012,18:21,01:21
Elwood Quarles,8,19.7.2012,04:21,04:21
Marci Luckett,9,19.7.2012,18:21,00:30
Virgilio Godby,10,19.7.2012,18:21,03:15
Virgilio Godby,10,19.7.2012,04:21,04:21
Curtis Duden,11,19.7.2012,18:21,00:35
Kristina Marrinan,12,19.7.2012,18:21,22:38
Kristina Marrinan,12,19.7.2012,04:21,04:21
Felisa Diver,13,19.7.2012,18:21,05:39
Felisa Diver,13,19.7.2012,04:21,04:21
Dalia Hoak,14,19.7.2012,18:21,21:51
Lilli Brockington,1,20.7.2012,18:21,23:56
Wenona Endsley,2,20.7.2012,18:21,02:27
Wenona Endsley,2,20.7.2012,04:21,04:21
Houston Riess,3,20.7.2012,18:21,20:24
Chana Crowther,4,20.7.2012,18:21,02:27
Chana Crowther,4,20.7.2012,04:21,04:21
Aleisha Lige,5,20.7.2012,18:21,00:47
Modesto Melody,6,20.7.2012,18:21,00:58
Hassan Lindstedt,7,20.7.2012,18:21,00:53
Elwood Quarles,8,20.7.2012,18:21,00:43
Elwood Quarles,8,20.7.2012,04:21,04:21
Marci Luckett,9,20.7.2012,18:21,03:36
Marci Luckett,9,20.7.2012,04:21,04:21
Virgilio Godby,10,20.7.2012,18:21,02:30
Curtis Duden,11,20.7.2012,18:21,01:15
Curtis Duden,11,20.7.2012,04:21,04:21
Lilli Brockington,1,21.7.2012,18:21,22:16
Wenona Endsley,2,21.7.2012,18:21,02:25
Houston Riess,3,21.7.2012,18:21,23:09
Houston Riess,3,21.7.2012,04:21,04:21
Chana Crowther,4,21.7.2012,18:21,23:27
Aleisha Lige,5,21.7.2012,18:21,04:39
Modesto Melody,6,21.7.2012,18:21,00:13
Modesto Melody,6,21.7.2012,04:21,04:21
Hassan Lindstedt,7,21.7.2012,18:21,02:10
Elwood Quarles,8,21.7.2012,18:21,05:10
Elwood Quarles,8,21.7.2012,04:21,04:21
Marci Luckett,9,21.7.2012,18:21,20:40
Marci Luckett,9,21.7.2012,04:21,04:21
Virgilio Godby,10,21.7.2012,18:21,03:59
Curtis Duden,11,21.7.2012,18:21,04:08
Kristina Marrinan,12,21.7.2012,18:21,20:34
Felisa Diver,13,21.7.2012,18:21,03:29
Felisa Diver,13,21.7.2012,04:21,04:21
Dalia Hoak,14,21.7.2012,18:21,03:17
Shiloh Weis,15,21.7.2012,18:21,04:42
Neoma Paine,16,21.7.2012,18:21,01:21
Neoma Paine,16,21.7.2012,04:21,04:21
Lilli Brockington,1,22.7.2012,18:21,04:28
Lilli Brockington,1,22.7.2012,04:21,04:21
Wenona Endsley,2,22.7.2012,18:21,02:32
Wenona Endsley,2,22.7.2012,04:21,04:21
Houston Riess,3,22.7.2012,18:21,03:11
Houston Riess,3,22.7.2012,04:21,04:21
Chana Crowther,4,22.7.2012,18:21,22:40
Chana Crowther,4,22.7.2012,04:21,04:21
Aleisha Lige,5,22.7.2012,18:21,02:53
Modesto Melody,6,22.7.2012,18:21,02:54
Hassan Lindstedt,7,22.7.2012,18:21,02:09
Elwood Quarles,8,22.7.2012,18:21,04:50
Marci Luckett,9,22.7.2012,18:21,02:40
Virgilio Godby,10,22.7.2012,18:21,23:59
Virgilio Godby,10,22.7.2012,04:21,04:21
Curtis Duden,11,22.7.2012,18:21,21:37
Curtis Duden,11,22.7.2012,04:21,04:21
Kristina Marrinan,12,22.7.2012,18:21,23:55
Kristina Marrinan,12,22.7.2012,04:21,04:21
Felisa Diver,13,22.7.2012,18:21,00:44
Lilli Brockington,1,23.7.2012,18:21,23:16
Lilli Brockington,1,23.7.2012,04:21,04:21
Wenona Endsley,2,23.7.2012,18:21,00:51
Houston Riess,3,23.7.2012,18:21,20:53
Chana Crowther,4,23.7.2012,18:21,03:19
Aleisha Lige,5,23.7.2012,18:21,05:07
Aleisha Lige,5,23.7.2012,04:21,04:21
Modesto Melody,6,23.7.2012,18:21,00:09
Hassan Lindstedt,7,23.7.2012,18:21,01:26
Elwood Quarles,8,23.7.2012,18:21,02:45
Elwood Quarles,8,23.7.2012,04:21,04:21
Marci Luckett,9,23.7.2012,18:21,02:01
Virgilio Godby,10,23.7.2012,18:21,20:33
Curtis Duden,11,23.7.2012,18:21,05:35
Curtis Duden,11,23.7.2012,04:21,04:21
Kristina Marrinan,12,23.7.2012,18:21,01:03
Felisa Diver,13,23.7.2012,18:21,05:40
Felisa Diver,13,23.7.2012,04:21,04:21
Lilli Brockington,1,24.7.2012,18:21,03:45
Lilli Brockington,1,24.7.2012,04:21,04:21
Wenona Endsley,2,24.7.2012,18:21,04:17
Wenona Endsley,2,24.7.2012,04:21,04:21
Houston Riess,3,24.7.2012,18:21,22:19
Chana Crowther,4,24.7.2012,18:21,04:34
Aleisha Lige,5,24.7.2012,18:21,23:07
Modesto Melody,6,24.7.2012,18:21,05:50
Modesto Melody,6,24.7.2012,04:21,04:21
Hassan Lindstedt,7,24.7.2012,18:21,02:38
Hassan Lindstedt,7,24.7.2012,04:21,04:21
Elwood Quarles,8,24.7.2012,18:21,03:28
Elwood Quarles,8,24.7.2012,04:21,04:21
Marci Luckett,9,24.7.2012,18:21,23:33
Virgilio Godby,10,24.7.2012,18:21,05:02
Curtis Duden,11,24.7.2012,18:21,22:20
Kristina Marrinan,12,24.7.2012,18:21,22:39
Felisa Diver,13,24.7.2012,18:21,23:49
Felisa Diver,13,24.7.2012,04:21,04:21
Lilli Brockington,1,25.7.2012,18:21,21:21
Wenona Endsley,2,25.7.2012,18:21,06:01
Houston Riess,3,25.7.2012,18:21,03:00
Chana Crowther,4,25.7.2012,18:21,01:52
Aleisha Lige,5,25.7.2012,18:21,22:43
Aleisha Lige,5,25.7.2012,04:21,04:21
Modesto Melody,6,25.7.2012,18:21,04:53
Modesto Melody,6,25.7.2012,04:21,04:21
Hassan Lindstedt,7,25.7.2012,18:21,01:32
Elwood Quarles,8,25.7.2012,18:21,23:23
Elwood Quarles,8,25.7.2012,04:21,04:21
Marci Luckett,9,25.7.2012,18:21,01:56
Virgilio Godby,10,25.7.2012,18:21,22:54
Curtis Duden,11,25.7.2012,18:21,05:55
Curtis Duden,11,25.7.2012,04:21,04:21
Kristina Marrinan,12,25.7.2012,18:21,22:03
Felisa Diver,13,25.7.2012,18:21,00:43
Felisa Diver,13,25.7.2012,04:21,04:21
Lilli Brockington,1,26.7.2012,18:21,21:51
Lilli Brockington,1,26.7.2012,04:21,04:21
Wenona Endsley,2,26.7.2012,18:21,00:34
Houston Riess,3,26.7.2012,18:21,22:51
Houston Riess,3,26.7.2012,04:21,04:21
Chana Crowther,4,26.7.2012,18:21,01:23
Aleisha Lige,5,26.7.2012,18:21,20:25
Aleisha Lige,5,26.7.2012,04:21,04:21
Modesto Melody,6,26.7.2012,18:21,04:34
Hassan Lindstedt,7,26.7.2012,18:21,00:47
Elwood Quarles,8,26.7.2012,18:21,04:42
Elwood Quarles,8,26.7.2012,04:21,04:21
Marci Luckett,9,26.7.2012,18:21,22:49
Virgilio Godby,10,26.7.2012,18:21,00:31
Curtis Duden,11,26.7.2012,18:21,23:28
Kristina Marrinan,12,26.7.2012,18:21,00:33
Kristina Marrinan,12,26.7.2012,04:21,04:21
Felisa Diver,13,26.7.2012,18:21,03:23
Lilli Brockington,1,27.7.2012,18:21,22:53
Wenona Endsley,2,27.7.2012,18:21,21:31
Houston Riess,3,27.7.2012,18:21,23:43
Chana Crowther,4,27.7.2012,18:21,02:33
Aleisha Lige,5,27.7.2012,18:21,01:28
Modesto Melody,6,27.7.2012,18:21,23:12
Hassan Lindstedt,7,27.7.2012,18:21,02:48
Hassan Lindstedt,7,27.7.2012,04:21,04:21
Elwood Quarles,8,27.7.2012,18:21,02:09
Elwood Quarles,8,27.7.2012,04:21,04:21
Marci Luckett,9,27.7.2012,18:21,06:00
Marci Luckett,9,27.7.2012,04:21,04:21
Virgilio Godby,10,27.7.2012,18:21,02:19
Virgilio Godby,10,27.7.2012,04:21,04:21
Curtis Duden,11,27.7.2012,18:21,02:57
Kristina Marrinan,12,27.7.2012,18:21,21:45
Lilli Brockington,1,28.7.2012,18:21,23:01
Lilli Brockington,1,28.7.2012,04:21,04:21
Wenona Endsley,2,28.7.2012,18:21,00:50
Wenona Endsley,2,28.7.2012,04:21,04:21
Houston Riess,3,28.7.2012,18:21,23:57
Chana Crowther,4,28.7.2012,18:21,21:00
Chana Crowther,4,28.7.2012,04:21,04:21
Aleisha Lige,5,28.7.2012,18:21,00:19
Aleisha Lige,5,28.7.2012,04:21,04:21
Modesto Melody,6,28.7.2012,18:21,05:49
Hassan Lindstedt,7,28.7.2012,18:21,01:34
Elwood Quarles,8,28.7.2012,18:21,04:16
Elwood Quarles,8,28.7.2012,04:21,04:21
Marci Luckett,9,28.7.2012,18:21,22:02
Virgilio Godby,10,28.7.2012,18:21,00:44
Curtis Duden,11,28.7.2012,18:21,20:50
Curtis Duden,11,28.7.2012,04:21,04:21
Kristina Marrinan,12,28.7.2012,18:21,05:29
Kristina Marrinan,12,28.7.2012,04:21,04:21
Felisa Diver,13,28.7.2012,18:21,00:37
Dalia Hoak,14,28.7.2012,18:21,23:27
Lilli Brockington,1,29.7.2012,18:21,21:48
Lilli Brockington,1,29.7.2012,04:21,04:21
Wenona Endsley,2,29.7.2012,18:21,23:12
Houston Riess,3,29.7.2012,18:21,20:37
Houston Riess,3,29.7.2012,04:21,04:21
Chana Crowther,4,29.7.2012,18:21,22:14
Chana Crowther,4,29.7.2012,04:21,04:21
Aleisha Lige,5,29.7.2012,18:21,00:06
Aleisha Lige,5,29.7.2012,04:21,04:21
Modesto Melody,6,29.7.2012,18:21,06:16
Hassan Lindstedt,7,29.7.2012,18:21,05:49
Elwood Quarles,8,29.7.2012,18:21,01:41
Marci Luckett,9,29.7.2012,18:21,03:09
Marci Luckett,9,29.7.2012,04:21,04:21
Virgilio Godby,10,29.7.2012,18:21,01:13
Virgilio Godby,10,29.7.2012,04:21,04:21
Curtis Duden,11,29.7.2012,18:21,05:09
Curtis Duden,11,29.7.2012,04:21,04:21
Lilli Brockington,1,30.7.2012,18:21,03:26
Lilli Brockington,1,30.7.2012,04:21,04:21
Wenona Endsley,2,30.7.2012,18:21,20:53
Houston Riess,3,30.7.2012,18:21,02:30
Chana Crowther,4,30.7.2012,18:21,06:19
Chana Crowther,4,30.7.2012,04:21,04:21
Aleisha Lige,5,30.7.2012,18:21,02:16
Aleisha Lige,5,30.7.2012,04:21,04:21
Modesto Melody,6,30.7.2012,18:21,00:39
Modesto Melody,6,30.7.2012,04:21,04:21
Hassan Lindstedt,7,30.7.2012,18:21,05:18
Elwood Quarles,8,30.7.2012,18:21,05:42
Marci Luckett,9,30.7.2012,18:21,20:55
Virgilio Godby,10,30.7.2012,18:21,23:19
Curtis Duden,11,30.7.2012,18:21,02:44
Kristina Marrinan,12,30.7.2012,18:21,04:39
Kristina Marrinan,12,30.7.2012,04:21,04:21
Lilli Brockington,1,31.7.2012,18:21,01:55
Wenona Endsley,2,31.7.2012,18:21,00:59
Houston Riess,3,31.7.2012,18:21,02:30
Chana Crowther,4,31.7.2012,18:21,00:05
Aleisha Lige,5,31.7.2012,18:21,05:19
Modesto Melody,6,31.7.2012,18:21,00:22
Modesto Melody,6,31.7.2012,04:21,04:21
Hassan Lindstedt,7,31.7.2012,18:21,03:02
Elwood Quarles,8,31.7.2012,18:21,02:24
Marci Luckett,9,31.7.2012,18:21,01:17
Virgilio Godby,10,31.7.2012,18:21,06:11
Lilli Brockington,1,1.8.2012,18:21,04:03
Lilli Brockington,1,1.8.2012,04:21,04:21
Wenona Endsley,2,1.8.2012,18:21,02:37
Houston Riess,3,1.8.2012,18:21,04:33
Houston Riess,3,1.8.2012,04:21,04:21
Chana Crowther,4,1.8.2012,18:21,03:59
Chana Crowther,4,1.8.2012,04:21,04:21
Aleisha Lige,5,1.8.2012,18:21,05:44
Modesto Melody,6,1.8.2012,18:21,21:57
Hassan Lindstedt,7,1.8.2012,18:21,04:59
Elwood Quarles,8,1.8.2012,18:21,22:35
Elwood Quarles,8,1.8.2012,04:21,04:21
Marci Luckett,9,1.8.2012,18:21,22:19
Virgilio Godby,10,1.8.2012,18:21,21:47
Curtis Duden,11,1.8.2012,18:21,04:01
Curtis Duden,11,1.8.2012,04:21,04:21
Kristina Marrinan,12,1.8.2012,18:21,20:41
Felisa Diver,13,1.8.2012,18:21,03:18
Lilli Brockington,1,2.8.2012,18:21,05:23
Lilli Brockington,1,2.8.2012,04:21,04:21
Wenona Endsley,2,2.8.2012,18:21,04:01
Wenona Endsley,2,2.8.2012,04:21,04:21
Houston Riess,3,2.8.2012,18:21,22:50
Chana Crowther,4,2.8.2012,18:21,05:39
Aleisha Lige,5,2.8.2012,18:21,02:38
Modesto Melody,6,2.8.2012,18:21,01:36
Modesto Melody,6,2.8.2012,04:21,04:21
Hassan Lindstedt,7,2.8.2012,18:21,01:26
Elwood Quarles,8,2.8.2012,18:21,23:06
Elwood Quarles,8,2.8.2012,04:21,04:21
Marci Luckett,9,2.8.2012,18:21,00:55
Virgilio Godby,10,2.8.2012,18:21,04:26
Virgilio Godby,10,2.8.2012,04:21,04:21
Curtis Duden,11,2.8.2012,18:21,01:40
Lilli Brockington,1,3.8.2012,18:21,22:59
Lilli Brockington,1,3.8.2012,04:21,04:21
Wenona Endsley,2,3.8.2012,18:21,03:43
Houston Riess,3,3.8.2012,18:21,22:10
Chana Crowther,4,3.8.2012,18:21,22:34
Aleisha Lige,5,3.8.2012,18:21,05:01
Modesto Melody,6,3.8.2012,18:21,21:31
Modesto Melody,6,3.8.2012,04:21,04:21
Hassan Lindstedt,7,3.8.2012,18:21,23:07
Elwood Quarles,8,3.8.2012,18:21,03:24
Marci Luckett,9,3.8.2012,18:21,01:05
Virgilio Godby,10,3.8.2012,18:21,02:58
Curtis Duden,11,3.8.2012,18:21,20:59
Curtis Duden,11,3.8.2012,04:21,04:21
Kristina Marrinan,12,3.8.2012,18:21,01:06
Felisa Diver,13,3.8.2012,18:21,02:26
Felisa Diver,13,3.8.2012,04:21,04:21
Lilli Brockington,1,4.8.2012,18:21,04:29
Lilli Brockington,1,4.8.2012,04:21,04:21
Wenona Endsley,2,4.8.2012,18:21,02:39
Wenona Endsley,2,4.8.2012,04:21,04:21
Houston Riess,3,4.8.2012,18:21,22:52
Chana Crowther,4,4.8.2012,18:21,00:43
Chana Crowther,4,4.8.2012,04:21,04:21
Aleisha Lige,5,4.8.2012,18:21,04:17
Modesto Melody,6,4.8.2012,18:21,00:53
Hassan Lindstedt,7,4.8.2012,18:21,00:49
Hassan Lindstedt,7,4.8.2012,04:21,04:21
Elwood Quarles,8,4.8.2012,18:21,21:34
Elwood Quarles,8,4.8.2012,04:21,04:21
Marci Luckett,9,4.8.2012,18:21,03:29
Marci Luckett,9,4.8.2012,04:21,04:21
Virgilio Godby,10,4.8.2012,18:21,02:12
Curtis Duden,11,4.8.2012,18:21,21:07
Curtis Duden,11,4.8.2012,04:21,04:21
Kristina Marrinan,12,4.8.2012,18:21,21:13
Felisa Diver,13,4.8.2012,18:21,04:37
Dalia Hoak,14,4.8.2012,18:21,21:01
Shiloh Weis,15,4.8.2012,18:21,01:15
Lilli Brockington,1,5.8.2012,18:21,22:18
Lilli Brockington,1,5.8.2012,04:21,04:21
Wenona Endsley,2,5.8.2012,18:21,23:31
Wenona Endsley,2,5.8.2012,04:21,04:21
Houston Riess,3,5.8.2012,18:21,21:03
Chana Crowther,4,5.8.2012,18:21,22:04
Aleisha Lige,5,5.8.2012,18:21,23:23
Modesto Melody,6,5.8.2012,18:21,05:39
Hassan Lindstedt,7,5.8.2012,18:21,02:34
Hassan Lindstedt,7,5.8.2012,04:21,04:21
Elwood Quarles,8,5.8.2012,18:21,06:01
Marci Luckett,9,5.8.2012,18:21,01:25
Marci Luckett,9,5.8.2012,04:21,04:21
Virgilio Godby,10,5.8.2012,18:21,22:59
Curtis Duden,11,5.8.2012,18:21,05:52
Curtis Duden,11,5.8.2012,04:21,04:21
Kristina Marrinan,12,5.8.2012,18:21,22:07
Lilli Brockington,1,6.8.2012,18:21,00:45
Wenona Endsley,2,6.8.2012,18:21,03:05
Houston Riess,3,6.8.2012,18:21,21:09
Chana Crowther,4,6.8.2012,18:21,04:18
Aleisha Lige,5,6.8.2012,18:21,20:46
Modesto Melody,6,6.8.2012,18:21,03:12
Hassan Lindstedt,7,6.8.2012,18:21,23:42
Elwood Quarles,8,6.8.2012,18:21,04:48
Elwood Quarles,8,6.8.2012,04:21,04:21
Marci Luckett,9,6.8.2012,18:21,02:43
Marci Luckett,9,6.8.2012,04:21,04:21
Virgilio Godby,10,6.8.2012,18:21,05:08
Curtis Duden,11,6.8.2012,18:21,06:12
Curtis Duden,11,6.8.2012,04:21,04:21
Kristina Marrinan,12,6.8.2012,18:21,02:17
Felisa Diver,13,6.8.2012,18:21,23:55
Felisa Diver,13,6.8.2012,04:21,04:21
Lilli Brockington,1,7.8.2012,18:21,00:50
Wenona Endsley,2,7.8.2012,18:21,22:56
Houston Riess,3,7.8.2012,18:21,03:28
Chana Crowther,4,7.8.2012,18:21,01:29
Aleisha Lige,5,7.8.2012,18:21,23:43
Aleisha Lige,5,7.8.2012,04:21,04:21
Modesto Melody,6,7.8.2012,18:21,23:43
Hassan Lindstedt,7,7.8.2012,18:21,00:18
Elwood Quarles,8,7.8.2012,18:21,05:30
Marci Luckett,9,7.8.2012,18:21,06:20
Marci Luckett,9,7.8.2012,04:21,04:21
Virgilio Godby,10,7.8.2012,18:21,04:09
Virgilio Godby,10,7.8.2012,04:21,04:21
Curtis Duden,11,7.8.2012,18:21,04:56
Curtis Duden,11,7.8.2012,04:21,04:21
Kristina Marrinan,12,7.8.2012,18:21,23:59
Kristina Marrinan,12,7.8.2012,04:21,04:21
Felisa Diver,13,7.8.2012,18:21,22:36
Felisa Diver,13,7.8.2012,04:21,04:21
Lilli Brockington,1,8.8.2012,18:21,01:44
Wenona Endsley,2,8.8.2012,18:21,21:16
Houston Riess,3,8.8.2012,18:21,22:49
Houston Riess,3,8.8.2012,04:21,04:21
Chana Crowther,4,8.8.2012,18:21,20:31
Chana Crowther,4,8.8.2012,04:21,04:21
Aleisha Lige,5,8.8.2012,18:21,23:52
Aleisha Lige,5,8.8.2012,04:21,04:21
Modesto Melody,6,8.8.2012,18:21,22:53
Hassan Lindstedt,7,8.8.2012,18:21,05:54
Elwood Quarles,8,8.8.2012,18:21,02:17
Marci Luckett,9,8.8.2012,18:21,01:06
Virgilio Godby,10,8.8.2012,18:21,20:25
Virgilio Godby,10,8.8.2012,04:21,04:21
Curtis Duden,11,8.8.2012,18:21,01:41
Curtis Duden,11,8.8.2012,04:21,04:21
Kristina Marrinan,12,8.8.2012,18:21,02:46
Kristina Marrinan,12,8.8.2012,04:21,04:21
Felisa Diver,13,8.8.2012,18:21,03:45
Felisa Diver,13,8.8.2012,04:21,04:21
Lilli Brockington,1,9.8.2012,18:21,05:11
Lilli Brockington,1,9.8.2012,04:21,04:21
Wenona Endsley,2,9.8.2012,18:21,01:43
Wenona Endsley,2,9.8.2012,04:21,04:21
Houston Riess,3,9.8.2012,18:21,23:25
Houston Riess,3,9.8.2012,04:21,04:21
Chana Crowther,4,9.8.2012,18:21,02:32
Chana Crowther,4,9.8.2012,04:21,04:21
Aleisha Lige,5,9.8.2012,18:21,00:41
Aleisha Lige,5,9.8.2012,04:21,04:21
Modesto Melody,6,9.8.2012,18:21,21:40
Hassan Lindstedt,7,9.8.2012,18:21,03:09
Elwood Quarles,8,9.8.2012,18:21,21:34
Marci Luckett,9,9.8.2012,18:21,01:27
Virgilio Godby,10,9.8.2012,18:21,02:27
Curtis Duden,11,9.8.2012,18:21,01:26
Curtis Duden,11,9.8.2012,04:21,04:21
Kristina Marrinan,12,9.8.2012,18:21,03:35
Kristina Marrinan,12,9.8.2012,04:21,04:21
Felisa Diver,13,9.8.2012,18:21,20:58
Felisa Diver,13,9.8.2012,04:21,04:21
Dalia Hoak,14,9.8.2012,18:21,21:21
Dalia Hoak,14,9.8.2012,04:21,04:21
Lilli Brockington,1,10.8.2012,18:21,06:08
Wenona Endsley,2,10.8.2012,18:21,21:48
Houston Riess,3,10.8.2012,18:21,02:35
Houston Riess,3,10.8.2012,04:21,04:21
Chana Crowther,4,10.8.2012,18:21,02:39
Aleisha Lige,5,10.8.2012,18:21,05:09
Modesto Melody,6,10.8.2012,18:21,20:29
Hassan Lindstedt,7,10.8.2012,18:21,21:47
Elwood Quarles,8,10.8.2012,18:21,21:03
Elwood Quarles,8,10.8.2012,04:21,04:21
Marci Luckett,9,10.8.2012,18:21,00:32
Marci Luckett,9,10.8.2012,04:21,04:21
Virgilio Godby,10,10.8.2012,18:21,03:08
Curtis Duden,11,10.8.2012,18:21,23:36
Curtis Duden,11,10.8.2012,04:21,04:21
Kristina Marrinan,12,10.8.2012,18:21,21:23
Kristina Marrinan,12,10.8.2012,04:21,04:21
Felisa Diver,13,10.8.2012,18:21,05:10
Felisa Diver,13,10.8.2012,04:21,04:21
Lilli Brockington,1,11.8.2012,18:21,04:51
